演算子	演算子名	        使用例	        説明
//算術演算子
+	      加算	            a + b	          a と b を足す
-	      減算	            a - b	          a から b を引く
*	      乗算	            a * b	          a と b を掛ける
/	      除算	            a / b	          a を b で割る
%	      剰余算	          a % b	          a を b で割った余り


//インクリメント・デクリメント演算子
++	    インクリメント	  a++、++a	      a を 1増加する
--	    デクリメント	    a--、--a	      a を 1減少する


//代入演算子
=	      代入	            a = b	          a に b を代入する
+=	    加算代入	        a += b	        a = a + b と同じ
-=	    減算代入	        a -= b	        a = a - b と同じ
*=	    乗算代入	        a *= b	        a = a * bと同じ
/=	    除算代入	        a /= b	        a = a / bと同じ
%=	    剰余代入	        a %= b	        a = a % bと同じ


//関係（比較）演算子
<	      小なり	          a < b	          a が b より小さい場合に true
<=	    小なりイコール	  a <= b	        a が b より小さいか等しい場合に true
>	      大なり	          a > b	          a が b より大きい場合に true
>=	    大なりイコール  	a >= b	        a が b より大きいか等しい場合に true
==	    等価	            a == b	        a と b が等しい場合に true
!=	    不等価	          a != b	        a と b が等しくない場合に true


//論理演算子
&&	    論理積（AND）	    a && b	        a と b の両方が true の場合に true
||	    論理和（OR）	    a || b	        a または b が true の場合に true
!	      否定（NOT）	      !a	            a が false の場合に true


//文字列の連結
+	      連結	            a + b	          a と b の文字列を連結する
//文字列の等価比較はequals()を使う
